网站地址,网站名称,栏目,地区,类型
http://wzjt.wenzhou.gov.cn/col/col1243902/index.html,温州交通局,政务信息,温州,市级
http://wzgl.wenzhou.gov.cn/col/col1242691/index.html,温州公路局,工作动态,温州,市级
http://zww.wzta.gov.cn/zwwqxdt/index.htm?channelid=269,温州旅游网,区县动态,温州,市级
http://edu.wenzhou.gov.cn/col/col1324558/index.html,温州市教育网,公示公告,温州,市级
http://news.66wz.com/wenzhou/shehui/index.html,社会温州网,新闻,温州,市级
http://www.jxwater.gov.cn/News/NewsList.aspx?ClassID=6,嘉兴市水利局,市县之窗,嘉兴,市级
http://www.jxjtj.gov.cn/list.aspx?id=345694272216,嘉兴市交通局,交通简讯,嘉兴,市级
http://wzsl.wenzhou.gov.cn/col/col1324818/index.html,温州市水利局,水利播报,温州,市级
http://wz.zj.gov.cn/col/col1217832/index.html,温州市政府网,社会信息,温州,市级
http://wzup.wenzhou.gov.cn/col/col1221573/index.html,温州市规划局,建设工程批前公示,温州,市级
http://wzup.wenzhou.gov.cn/col/col1221574/index.html,温州市规划局,建设工程竣工规划核实公示,温州,市级
http://www.jxedu.net.cn/col/col68/index.html?uid=120&pageNum=1,嘉兴市教育网,本市教育动态,嘉兴,市级
http://www.jxtourism.com/list.aspx?id=806928957799,嘉兴旅游政务网,要闻动态,嘉兴,市级
http://www.cnjxol.com/gov/jxwhw/content/2018-02/26/content_2666206.htm,嘉兴市文化网,通知公告,嘉兴,市级
http://www.jiaxing.gov.cn/sfgw/zcwj_5205/,嘉兴市发改委,政策文件,嘉兴,市级
http://www.jxbuild.gov.cn/WebArticle/ShowList?ID=14,嘉兴市建委,工作动态,嘉兴,市级
